qid,rougeL_with_pct,bleu_with_pct,rougeL_no_pct,bleu_no_pct
q_0,100.0,100.00000000000004,80.0,60.653065971263366
q_1,50.0,15.310245441182435,0.0,0.0
q_10,100.0,100.00000000000004,0.0,0.0
q_100,100.0,100.00000000000004,0.0,0.0
q_101,66.66666666666666,49.99999999999999,66.66666666666666,49.99999999999999
q_102,50.0,0.0,0.0,0.0
q_103,80.0,60.653065971263366,0.0,0.0
q_104,100.0,59.46035575013604,100.0,59.46035575013604
q_105,50.0,4.9787068367863965,0.0,0.0
q_106,100.0,55.03212081491042,0.0,0.0
q_107,100.0,100.00000000000004,100.0,100.00000000000004
q_108,0.0,0.0,0.0,0.0
q_109,83.33333333333333,50.813274815461476,0.0,0.0
q_11,100.0,100.00000000000004,6.0606060606060606,0.0
q_110,100.0,100.00000000000004,0.0,0.0
q_111,100.0,100.00000000000004,0.0,0.0
q_112,33.333333333333336,10.682175159905853,0.0,0.0
q_113,100.0,55.03212081491042,0.0,0.0
q_114,100.0,100.00000000000004,36.36363636363636,16.233395773754946
q_115,100.0,100.00000000000004,0.0,0.0
q_116,44.44444444444445,0.40867714384640685,0.0,0.0
q_117,0.0,0.0,28.571428571428577,10.682175159905853
q_118,100.0,100.00000000000004,100.0,0.0
q_119,100.0,100.00000000000004,0.0,0.0
q_12,100.0,100.00000000000004,0.0,0.0
q_120,100.0,100.00000000000004,0.0,0.0
q_121,100.0,100.00000000000004,50.0,0.0
q_122,100.0,100.00000000000004,0.0,0.0
q_123,100.0,0.0,0.0,0.0
q_124,100.0,100.00000000000004,0.0,0.0
q_125,100.0,100.00000000000004,0.0,0.0
q_126,100.0,100.00000000000004,0.0,0.0
q_127,100.0,100.00000000000004,0.0,0.0
q_128,100.0,100.00000000000004,100.0,0.0
q_129,100.0,100.00000000000004,0.0,0.0
q_13,100.0,100.00000000000004,0.0,0.0
q_130,100.0,100.00000000000004,0.0,0.0
q_131,66.66666666666666,51.341711903259224,0.0,0.0
q_132,100.0,100.00000000000004,0.0,0.0
q_133,50.0,15.97357760615681,0.0,0.0
q_134,100.0,100.00000000000004,0.0,0.0
q_135,100.0,100.00000000000004,0.0,0.0
q_136,100.0,100.00000000000004,0.0,0.0
q_137,100.0,100.00000000000004,0.0,0.0
q_138,100.0,100.00000000000004,100.0,100.00000000000004
q_139,100.0,100.00000000000004,20.000000000000004,10.682175159905853
q_14,100.0,100.00000000000004,60.0,30.213753973567677
q_140,100.0,100.00000000000004,0.0,0.0
q_141,100.0,100.00000000000004,0.0,0.0
q_142,100.0,100.00000000000004,0.0,0.0
q_143,66.66666666666666,13.533528323661276,0.0,0.0
q_144,100.0,100.00000000000004,0.0,0.0
q_145,100.0,100.00000000000004,50.0,49.99999999999999
q_146,66.66666666666666,13.533528323661276,0.0,0.0
q_147,50.0,30.326532985631665,0.0,0.0
q_148,0.0,0.0,0.0,0.0
q_149,40.0,30.326532985631665,0.0,0.0
q_15,0.0,0.0,0.0,0.0
q_150,100.0,100.00000000000004,0.0,0.0
q_151,100.0,100.00000000000004,0.0,0.0
q_152,100.0,100.00000000000004,100.0,100.00000000000004
q_153,100.0,100.00000000000004,100.0,100.00000000000004
q_154,100.0,100.00000000000004,0.0,0.0
q_155,100.0,100.00000000000004,14.285714285714288,0.0
q_156,100.0,100.00000000000004,0.0,0.0
q_157,100.0,100.00000000000004,0.0,0.0
q_158,100.0,100.00000000000004,0.0,0.0
q_159,0.0,0.0,0.0,0.0
q_16,100.0,100.00000000000004,0.0,0.0
q_160,100.0,100.00000000000004,0.0,0.0
q_161,0.0,0.0,0.0,0.0
q_162,100.0,100.00000000000004,100.0,100.00000000000004
q_163,100.0,100.00000000000004,0.0,0.0
q_164,100.0,100.00000000000004,0.0,0.0
q_165,100.0,100.00000000000004,0.0,0.0
q_166,100.0,100.00000000000004,0.0,0.0
q_167,0.0,0.0,0.0,0.0
q_168,0.0,0.0,0.0,0.0
q_169,0.0,0.0,66.66666666666666,36.78794411714425
q_17,85.71428571428571,71.65313105737896,85.71428571428571,71.65313105737896
q_170,0.0,0.0,0.0,0.0
q_171,100.0,100.00000000000004,0.0,0.0
q_172,100.0,100.00000000000004,50.0,49.99999999999999
q_173,100.0,0.0,50.0,0.0
q_174,100.0,100.00000000000004,0.0,0.0
q_175,100.0,100.00000000000004,33.33333333333333,27.51606040745522
q_176,100.0,100.00000000000004,0.0,0.0
q_177,50.0,13.533528323661276,0.0,0.0
q_178,28.571428571428577,19.716118825581447,0.0,0.0
q_179,0.0,0.0,0.0,0.0
q_18,0.0,0.0,0.0,0.0
q_180,100.0,100.00000000000004,61.53846153846153,27.48254571080018
q_181,0.0,0.0,0.0,0.0
q_182,0.0,0.0,0.0,0.0
